month,city,road,subject
"August 2018 Incident Archives, Medford",MEDFORD,,"Park Press Printing is a reputable name when it comes to vehicle graphics in Gloucester and Medford, Massachusetts. Saugus, MA -- (ReleaseWire) -- 08 / 20 / 2018 --The use of vinyl graphics has remarkably ...[...]"
"August 2018 Incident Archives, Medford",,STREET,"MEDFORD, MA - Medford Mayor Stephanie M ... The project involves replacing the standard ""cobra head"" street lights, flood lights and decorative floodlights with long-lasting LED fixtures. It will also ...[...]"
"August 2018 Incident Archives, Medford",,ROUTE146,"The four state sectional champions - Danvers, Medford, Westborough and Pittsfield American - traveled on every conceivable highway and byway to get to Route 146 that lies practically adjacent to the W...[...]"
"August 2018 Incident Archives, Medford",,NOINFORMATION,"The four state sectional champions - Danvers, Medford, Westborough and Pittsfield American - traveled on every conceivable highway and byway to get to Route 146 that lies practically adjacent to the W...[...]"
"July 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA - A Medford man faces drunk and reckless driving charges in Somerville after he was pulled over for speeding in a school zone and running a red light and stop sign, police said. Officers s...[...]"
"July 2018 Incident Archives, Medford",,FELLSWAY,10:35 a.m.; Hicks Avenue and Main Street - A motor vehicle accident was reported. 12:26 p.m.; Fellsway - A motor vehicle accident was reported. 10:09 a.m.; Bonner Avenue and Main Street - A motor vehicle accident was reported. 1:40 p.m.; Governors ..[...]
"July 2018 Incident Archives, Medford",,FELLSWAY,10:35 a.m.; Hicks Avenue and Main Street - A motor vehicle accident was reported. 12:26 p.m.; Fellsway - A motor vehicle accident was reported. 10:09 a.m.; Bonner Avenue and Main Street - A motor vehicle accident was reported. 1:40 p.m.; Governors ..[...]
"July 2018 Incident Archives, Medford",,NOINFORMATION,10:35 a.m.; Hicks Avenue and Main Street - A motor vehicle accident was reported. 12:26 p.m.; Fellsway - A motor vehicle accident was reported. 10:09 a.m.; Bonner Avenue and Main Street - A motor vehicle accident was reported. 1:40 p.m.; Governors ..[...]
"June 2018 Incident Archives, Medford",,FELLSWAY,1:25 p.m.; Boston Avenue and College Avenue - A pedestrian accident was reported. 3:01 p.m.; Fellsway West - Larceny was reported. 1:42 p.m.; Hicks Avenue - A suspicious incident was reported at the Columbus School. 6:46 p.m.; Hancock Avenue ...[...]
"June 2018 Incident Archives, Medford",,I-90,"For guests coming in from out of town, here's how to get there, according to the Tufts website: From the southwest, west, or northwest via Routes 2, 3, 9 Interstate 95, or the Massachusetts Turnpike (Interstate 90), the easiest approach to the campus[...]"
"June 2018 Incident Archives, Medford",,FELLSWAY,11:42 a.m.; Rivers Edge Drive - A breaking and entering of a motor vehicle was reported. 3:37 p.m.; Rivers Edge Drive - A breaking and entering of a motor vehicle was reported. 6:52 p.m.; Fellsway West - A breaking and entering was reported.[...]
"June 2018 Incident Archives, Medford",,,"Samuel Fuller, 25, of Medford, Ma. Charges of operating a motor vehicle with license suspended, operating with suspended registration, and uninsured motor vehicle, in Erving, all dismissed on request of the commonwealth. Brian Betit, 19, of Whitingha[...]"
"June 2018 Incident Archives, Medford",,NOINFORMATION,"Samuel Fuller, 25, of Medford, Ma. Charges of operating a motor vehicle with license suspended, operating with suspended registration, and uninsured motor vehicle, in Erving, all dismissed on request of the commonwealth. Brian Betit, 19, of Whitingha[...]"
"May 2018 Incident Archives, Medford",,,"Moses' husband said she owned Pathway Home Realty Group in Newton Center. He said she loved mentoring young ... Medford police, and the Massachusetts State Police Collision Analysis and Reconstruction Section.[...]"
"May 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA - Authorities have identified the victim of a fatal crash in Medford late Sunday afternoon. Judith Moses, 64, of Brookline, was killed when a teenage driver struck three pedestrians on Spring Street, according to the Middlesex District ..[...]"
"May 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA (WHDH) - A 17-year-old driver accused of killing one person and injuring two people in Medford on Sunday was under the influence of drugs at the time of the crash, officials said. The boy, whose name has not been released, was driving in [...]"
"May 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA (WHDH) - A 17-year-old boy accused of hitting three people with a car in Medford Sunday, killing one and leaving two hospitalized, was under the influence of a drug at the time of the crash, authorities said. The boy, whose name has not b[...]"
"May 2018 Incident Archives, Medford",MEDFORD,,"This is an open and ongoing investigation being conducted by the Middlesex District Attorney's Office, Medford Police and the Massachusetts State Police Collision Analysis and Reconstruction Section.[...]"
"May 2018 Incident Archives, Medford",MEDFORD,,"The investigation being conducted by the Middlesex District Attorney's Office, Medford Police and the Massachusetts State Police Collision Analysis and Reconstruction Section.[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,"A woman who was hit and killed Sunday afternoon in Medford, Massachusetts, allegedly by a juvenile driver, has been identified. Judy Moses of Chestnut Hill was showing a house on Spring Street when she was struck just before 5 p.m., according to her [...]"
"April 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA (WHDH) - A juvenile accused of hitting three people with a car in Medford Sunday, killing one and leaving two hospitalized, is in police custody, officials said. The boy was driving in the area of Spring and Emerald streets about 4:49 p.m[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA (WHDH) - A juvenile boy is accused of hitting three people with a car, killing one person and a dog, officials said. The boy was travelling in the area of Spring and Emerald Street in Medford when he struck and killed a woman, according t[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,A small memorial started to grow Sunday night after a terrifying afternoon in Medford where a woman and dog were killed and two others were injured in a pedestrian crash. A juvenile male was driving around 4:49 p.m. in the area of Spring and Emerald [...]
"April 2018 Incident Archives, Medford",MEDFORD,,"This is an open and ongoing investigation being conducted by the Middlesex District Attorney's Office, Medford Police and the Massachusetts State Police Collision Analysis and Reconstruction Section.[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,15 p.m. Medford and Massachusetts State Police responded to investigate the deadly crash. One person was declared dead on scene. Two others were rushed to Mass General Hospital in serious condition.[...]
"April 2018 Incident Archives, Medford",,2,"MEDFORD, MA - One person is dead and two more injured after a juvenile driver struck three pedestrians on Spring Street late Sunday afternoon, authorities said. A dog that was with two of the victims was also killed. The driver, a young male, was ...[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,"Massachusetts State Police confirm one person has died after a pedestrian crash in Medford. A juvenile male was driving around 4:49 p.m. in the area of Spring and Emerald streets when he struck and killed an adult female, according to Medford Police [...]"
"April 2018 Incident Archives, Medford",MEDFORD,,7:05 a.m.; Adams Street - Stray animals were reported. 3:20 p.m.; Main Street - An arrest was made following a motor vehicle accident near Medford Gas and Service. 6:45 p.m.; Washington Street - A breaking and entering was reported. 1:36 a.m.; Winter[...]
"April 2018 Incident Archives, Medford",MEDFORD,,"The Medford Arts Center, Inc. (MACI) is the hub of a network of arts-related programs in our community. Our two banner projects are MARV, the Medford Arts Resource Vehicle, and the Mystic Makerspace. The Medford Arts Resource Vehicle MARV is an art c[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,"She also has met with officials from the neighboring Massachusetts town of Medford to share strategies on developing the area along the highway as safely as possible. Still, proponents agree there is much more work to be done to reduce exposure in th[...]"
"April 2018 Incident Archives, Medford",,,5:16 p.m.; Early Avenue - A breaking and entering of a motor vehicle was reported. 8:57 a.m.; Windsor Road - An arrest was made for a reported larceny. 11:57 a.m.; Frederick Avenue - An arrest was made for a suspicious incident. 1:29 p.m.; Spring ...[...]
"April 2018 Incident Archives, Medford",QUINCY,,"QUINCY, MA - Who would steal a street sweeper and drive it up a highway? That's what State Police investigators are trying to figure out. Police received a report at about midday Easter Sunday that someone stole a street sweeper in Quincy and was hea[...]"
"April 2018 Incident Archives, Medford",,I-93,"Authorities are looking for a suspect after they say someone stole a street sweeper Sunday and drove it toward a Massachusetts ... around Interstate 93, north of Boston, for a stolen Ford F-350 street sweeper Sunday. Later, on Elm Street in Medford .[...]"
"April 2018 Incident Archives, Medford",MEDFORD,,"QUINCY - Police are searching for a person who stole a street sweeper in Quincy Sunday afternoon and took it on a 16-mile joyride to Medford before abandoning the vehicle. Shortly before noon, Quincy police sent out a be-on-the-lookout broadcast for [...]"
"April 2018 Incident Archives, Medford",,I-93,"MEDFORD, MA (WHDH) - Police are searching for a man who stole a street sweeper in Medford. Officials said the sweeper was seen on Interstate 93 north after it was reported stolen Sunday morning. A short time later, Massachusetts State Police said the[...]"
"April 2018 Incident Archives, Medford",,NOINFORMATION,"MEDFORD, MA (WHDH) - Police are searching for a man who stole a street sweeper in Medford. Officials said the sweeper was seen on Interstate 93 north after it was reported stolen Sunday morning. A short time later, Massachusetts State Police said the[...]"
"March 2018 Incident Archives, Medford",MEDFORD,,Medford officials have moved closer to deciding on the future ... Fiala noted that a traffic study would require input from the Massachusetts Department of Transportation because the road is designated as a state highway. Improved walkability and tra[...]
"March 2018 Incident Archives, Medford",GROTON,,"Connecticut State Police say 27-year-old Valery Labossiere, of Medford, Massachusetts, ran a red light and hit another vehicle in Groton on March 30, 2017. A passenger in the other vehicle, 22-year-old Deion Anthony Pittman, of Waterford, was killed.[...]"
"March 2018 Incident Archives, Medford",,I-93,"MEDFORD, MA (WHDH) - A car caught fire on Interstate 93 southbound in Medford. Flames broke out around 6:30 a.m., impacting the morning commute. Crews quickly extinguished the fire and towed away the car. They used water, which turned into ice due to[...]"
"March 2018 Incident Archives, Medford",MEDFORD,,11:36 a.m.; Mystic Valley Parkway - Shoplifting was reported at Kohl's. 12:03 p.m.; Winthrop Street - Larceny was reported at Medford High School. 1:56 p.m.; Winthrop Street - A motor vehicle accident was reported. 5:10 p.m.; College Avenue and ...[...]
"March 2018 Incident Archives, Medford",,I-93,"In the wake of a deadly pedestrian bridge collapse in Miami, Massachusetts transportation officials say ... Braintree split and for the 2011 installation of 14 bridges along Interstate 93 in Medford. It's unclear whether accelerated bridge constructi[...]"
"March 2018 Incident Archives, Medford",,,"Connecticut State Police say 27-year-old Valery Labossiere, of Medford, Massachusetts, ran a red light and hit another ... He was charged with theft and reckless driving after the crash. The Day reports that the manslaughter charge was added this wee[...]"
"March 2018 Incident Archives, Medford",,I-84,"With Interstate 84 a sheet of sleet and ice ... He's been on the road in his RV since Monday on a trip from Boone, North Carolina to Medford, Massachusetts to visit family. Visibility problems forced him off the road. His dog, a young West Siberian .[...]"
"March 2018 Incident Archives, Medford",,I-93,"STONEHAM, MA - A crash on I-93 North in Stoneham has been cleared but heavy delays remain in the area, according to WBZ. The crash happened in the median near Exit 36 onto Montvale Avenue. Backups reportedly stretch to Medford, according to the netwo[...]"
"February 2018 Incident Archives, Medford",,ROUTE140N,"MEDFORD, MA (WHDH) - MA State Police said a Cambridge woman was dragged a quarter-mile on Route 16 East in Medford near Boston Avenue. Police said the 23-year-old woman and a 35-year-old Malden man got into a car accident around 8 p.m. on Friday in S[...]"
"February 2018 Incident Archives, Medford",,I-93,"This is one of two in Medford MA which serve as exits from Interstate 93, and the one I drove twice daily for some years on my way to work. To the upper left is Middlesex Fells, a 2,200 acre park of woodlands, trails, ponds and reservoirs. I drove th[...]"
"February 2018 Incident Archives, Medford",,FELLSWAY,1:13 p.m.; Ninth Street - Larceny was reported. 5:32 p.m.; Fellsway - Larceny was reported at Stop & Shop. 11:49 p.m.; Boston Avenue - A motor vehicle accident was reported. 8:04 a.m.; Riverside Avenue - A fight at Papa Gino's was advised by an .[...]
"February 2018 Incident Archives, Medford",,FELLSWAY,12:16 p.m.; Main Street - An injured officer was reported at the police station. 10:09 p.m.; Fellsway Street - A disabled motor vehicle was towed. Feb. 8 9:19 a.m.; Station Landing - Shoplifting was reported at Walgreens. 11:49 a.m.; St. James Road .[...]
"January 2018 Incident Archives, Medford",,I-93,"11:57 p.m.; Foss Street - A suspicious person was reported, although the report was unfounded. Jan. 5 5:01 a.m.; I-93 South - A motor vehicle accident was reported. 1:14 p.m.; Horne Avenue - A suspicious person was reported. 1:50 p.m.; Hall Street ..[...]"
"January 2018 Incident Archives, Medford",,FELLSWAY,"8:49 a.m.; Boston Avenue - Breaking and entering of a motor vehicle was reported. 10:42 a.m.; Fellsway Street - A suspicious person was reported at Off Broadway Shoes, although an area search returned negative results. 12:07 p.m.; Columbia Road and .[...]"
"January 2018 Incident Archives, Medford",,I-95,"Ringed by Interstate 95, and in the shadow of the George Washington Bridge, Leonia sits next to some of the most congested roadways in the country. But Leonia is not alone. From Medford, Massachusetts to Fremont, California, communities are grappling[...]"
"January 2018 Incident Archives, Medford",,MA-2,Wicked Local Medford2:44 p.m.; Fellsway - Shoplifting was reported at Dunkin Donuts. 3:10 p.m.; Auburn Street and North Street - A disabled motor vehicle was reported. 5:00 p.m.; I93N - A motor vehicle accident was reported. 5:16 p.m.; Salem Street -[...]
"January 2018 Incident Archives, Medford",,NOINFORMATION,Wicked Local Medford2:44 p.m.; Fellsway - Shoplifting was reported at Dunkin Donuts. 3:10 p.m.; Auburn Street and North Street - A disabled motor vehicle was reported. 5:00 p.m.; I93N - A motor vehicle accident was reported. 5:16 p.m.; Salem Street -[...]
"December 2017 Incident Archives, Medford",,FELLSWAY,8:29 a.m.; Hall Street and Riverside Avenue -- A motor vehicle accident was reported. 10:31 a.m.; Fellsway West -- Counterfeit money was reported. 11:26 a.m.; Charlemont Road -- A breaking and entering of a motor vehicle was reported. 12:46 a.m.; Bor[...]
"December 2017 Incident Archives, Medford",MEDFORD,,"More than 11,000 in Massachusetts are without power, according to the state's emergency management agency. The pre-Christmas ice storm, which has already caused dozens of crashes and prompted I-95 to temporarily close earlier Saturday, had lights and[...]"
"December 2017 Incident Archives, Medford",,,"WOBURN, MA - A Chelmsford man was recently indicted on charges he was drunk when he struck and killed a highway worker in Medford in 2016. James Scoville, 33, was charged with motor vehicle homicide and operating a motor vehicle under the influence o[...]"
"December 2017 Incident Archives, Medford",,MARSHALLAVE,"1:10 p.m.: Police responded to the area of Broadway and Central for a report of a motor vehicle theft in progress. Daniel Vellucci, 42, of Marshall Ave., Malden, was arrested and charged with receiving stolen property.[...]"
"December 2017 Incident Archives, Medford",,NOINFORMATION,"1:10 p.m.: Police responded to the area of Broadway and Central for a report of a motor vehicle theft in progress. Daniel Vellucci, 42, of Marshall Ave., Malden, was arrested and charged with receiving stolen property.[...]"
"November 2017 Incident Archives, Medford",,I-93,"The woman killed in a Saturday crash on Interstate 93 in Woburn has been identified as Deborah A. Burpee, 48, of Kennebunk, Maine. Massachusetts State Police troopers from the Medford barracks were called to I-93 northbound in Woburn around 5:10 p.m.[...]"
"November 2017 Incident Archives, Medford",,I-93,"Protesters attached to 1,200-pound barrels shut down both directions of I-93 in the Medford-Somerville area of Massachusetts, disrupting the morning commute into Boston. Massachusetts State Police have arrested 17 demonstrators who sought to interfer[...]"
"November 2017 Incident Archives, Medford",,I-93,"Patch.comWOBURN, MA - A Chelmsford man was arraigned Monday on charges he was drunk when he struck and killed a highway worker in Medford in 2016. James Scoville ... The crash in Medford on Interstate 93 June 28, 2016, at about 2:30 a.m., authorities[...]"
"November 2017 Incident Archives, Medford",,I-93,"WOBURN, MA - A Chelmsford man was arraigned Monday on charges ... Another worker was injured in the crash but survived. The crash in Medford on Interstate 93 June 28, 2016, at about 2:30 a.m., authorities said. ""(The workers) were performing pai[...]"
"November 2017 Incident Archives, Medford",,I-93,A 33-year-old Chelmsford man who was allegedly drunk when he struck a 52-year-old father of six at a work site on Interstate 93 in Medford last year was arraigned in Woburn Superior Court Monday on charges that include motor vehicle homicide. Thomas [...]
"November 2017 Incident Archives, Medford",,I-93,"Protesters attached to 1,200-pound barrels shut down both directions of I-93 in the Medford-Somerville area of Massachusetts, disrupting the morning commute into Boston. Massachusetts State Police have arrested 17 demonstrators who sought to interfer[...]"
"November 2017 Incident Archives, Medford",,I-93,"Photo Gallery Of Protests, Arrests Massachusetts State Police said several protesters ... '?There cannot be any tolerance for this.'? Related: I-93 Protests Divert Ambulance It was nearly 10 a.m. before all highway lanes in Milton could be reopened.[...]"
"November 2017 Incident Archives, Medford",,FELLSWAY,4:41 a.m.; Ridgeway Road - A breaking and entering of a motor vehicle was reported. 8:01 a.m.; Elm Street and Fellsway West - A suspicious person was reported. 4:20 p.m.; Mystic Valley Parkway - Larceny was reported at the future Wegmans. 5:01 ...[...]
"November 2017 Incident Archives, Medford",,NOINFORMATION,4:41 a.m.; Ridgeway Road - A breaking and entering of a motor vehicle was reported. 8:01 a.m.; Elm Street and Fellsway West - A suspicious person was reported. 4:20 p.m.; Mystic Valley Parkway - Larceny was reported at the future Wegmans. 5:01 ...[...]
"October 2017 Incident Archives, Medford",,ROUTE1,"WHDH-TVLYNNFIELD, MA (WHDH) - A Medford woman is facing charges after authorities say she slammed into a Massachusetts State Police cruiser early Friday morning on Route 1 in Lynnfield. A 44-year-old ... The cause of the crash remains under investiga[...]"
"October 2017 Incident Archives, Medford",,STREET,Wicked Local ArlingtonThere is no official bike lane in that area of Massachusetts Avenue. The biker was taken to the hospital an no one was cited. 5:19p.m.: Police responded to a report of a bike crash with injury at the intersection of Medford Stre[...]
"October 2017 Incident Archives, Medford",,FELLSWAY,Wicked Local Medford1:27 p.m.; Fellsway West - A domestic dispute was reported. ... 8:30 p.m.; Fellsway West - A person found on the ground at Stop and Shop was brought to the hospital. ... 5:46 a.m.; Cabot Road and River's Edge Drive - A pedestrian [...]
"October 2017 Incident Archives, Medford",,FELLSWAY,Wicked Local Medford1:06 a.m. - McCormack Avenue: A suspicious person was spoken to. 8:16 a.m. - Fellsway: A motor vehicle accident was reported. 10:36 a.m. - Fellsway: A suspicious person was spoken to. 12:01 p.m. - Salem Street: A motor vehicle acc[...]
"October 2017 Incident Archives, Medford",MEDFORD,,"Lincoln's letter from Medford, Massachusetts (Oct. 18). I understood his point clearly. Montana is a subsidized state and our highways, for example, are paid off by taxes from people from states like his - states that, unlike Montana, give more than [...]"
"October 2017 Incident Archives, Medford",,I-95,MEDFORD (AP) - A Massachusetts police officer killed off-duty when his ... New Hampshire police say Ricci may have been racing other vehicles on southbound Interstate 95. Remigio died Monday at a hospital; Ricci was not injured. Officers from departm[...]
"October 2017 Incident Archives, Medford",,FELLSWAY,4:28 p.m.; Fellsway - A breaking and entering of a motor vehicle was reported at Planet Fitness. 5:15 p.m.; Boston Avenue - A breaking and entering of a motor vehicle was reported at Work Out World. 5:18 p.m.; Revere Beach Parkway - An assault was ..[...]
"October 2017 Incident Archives, Medford",,I-93,"BOSTON, MA - October 5, 2017 - Holliday Fenoglio Fowler ... among others. Additionally, Interstate 93 is a few blocks from the property providing vehicular access to Boston and the surrounding suburbs. The HFF debt placement team representing ...[...]"
"October 2017 Incident Archives, Medford",,NOINFORMATION,"BOSTON, MA - October 5, 2017 - Holliday Fenoglio Fowler ... among others. Additionally, Interstate 93 is a few blocks from the property providing vehicular access to Boston and the surrounding suburbs. The HFF debt placement team representing ...[...]"
"September 2017 Incident Archives, Medford",,I-93,"MEDFORD, MA (WHDH) - A police pursuit led to the arrest of a Medford ... Mitchell refused to pull over and proceeded to enter onto Interstate 93 south, police said. Police attempted to deploy spike strips at exit 11B in an unsuccessful attempt to sto[...]"
"September 2017 Incident Archives, Medford",,OR-138,"on Interstate 5. In Oregon, start at the intersection of US-62 and Munson Valley Road in Medford, or head east on OR-138 in Roseburg or I-5 southbound in Eugene. The 57-mile Mohawk Trail winds through the Berkshires of northwestern Massachusetts.[...]"
"September 2017 Incident Archives, Medford",,NOINFORMATION,"on Interstate 5. In Oregon, start at the intersection of US-62 and Munson Valley Road in Medford, or head east on OR-138 in Roseburg or I-5 southbound in Eugene. The 57-mile Mohawk Trail winds through the Berkshires of northwestern Massachusetts.[...]"
"August 2017 Incident Archives, Medford",MEDFORD,,"MEDFORD, Ore. (AP) - Authorities say three firefighters ... A college class ring lost in the surf at a Massachusetts beach nearly half a century ago is back on the finger of its owner. A Pennsylvania teachers' union will begin paying the $84,000 sala[...]"
"August 2017 Incident Archives, Medford",,I-93,"Vehicle commuters use this route as a parallel to Interstate 93 to avoid traffic on the highway ... Agencies responsible: MBTA, Massachusetts Department of Conservation and Recreation. Your vote determines which bus stop goes on to the second round.[...]"
"August 2017 Incident Archives, Medford",MEDFORD,OREGON,"'?Perhaps most likely, it could be just bad luck,'? said Rockford Weitz, a professor in the Maritime Studies Program at The Fletcher School at Tufts University in Medford, Massachusetts. '?The waterways of Pacific Asia are the most congested in the .[...]"
"August 2017 Incident Archives, Medford",,I-93,"Protesters attached to 1,200-pound barrels shut down both directions of I-93 in the Medford-Somerville area of Massachusetts, disrupting the morning commute into Boston. Massachusetts State Police have arrested 17 demonstrators who sought to interfer[...]"
"August 2017 Incident Archives, Medford",MEDFORD,,"""This is an open investigation being conducted by the Massachusetts State Police, Medford Police, and the Occupational Safety and Health Administration (OSHA).""[...]"
"August 2017 Incident Archives, Medford",MEDFORD,,Federal authorities have identified the company involved in a fatal industrial accident in Medford on Wednesday as The Three Masons from Tyngsborough. A 50-year-old construction worker from Massachusetts was killed Wednesday afternoon after a concret[...]
"August 2017 Incident Archives, Medford",,NOINFORMATION,Federal authorities have identified the company involved in a fatal industrial accident in Medford on Wednesday as The Three Masons from Tyngsborough. A 50-year-old construction worker from Massachusetts was killed Wednesday afternoon after a concret[...]
"July 2017 Incident Archives, Medford",,FELLSWAY,Enterprise News1:35 p.m.; Grove Street & Tyler Avenue - A female suspect was reportedly trying to gain entrance into vehicles. 1:48 p.m.; Mystic Valley Parkway - Shoplifting was reported at Kohls. 5:02 p.m.; Bradlee Road - A motor vehicle was rep[...]
"July 2017 Incident Archives, Medford",HOPKINTON,,"Pike to commute from Hopkinton to Medford most days ... the acting highway administrator for the Massachusetts Department of Transportation. '?Barring a natural disaster coming in here, I don't see a scenario where we would blow our schedule ...[...]"
"July 2017 Incident Archives, Medford",,,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"July 2017 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"April 2017 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"March 2017 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"January 2017 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"December 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"November 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"October 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"September 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"August 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"July 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"June 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"May 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"April 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
"March 2016 Incident Archives, Medford",,NOINFORMATION,"CHELMSFORD, MA - Chelmsford police last week arrested a Medford woman on her second drunk driving charge. These and more were included in the recent Chelmsford police log. Suspects are presumed innocent. (Sign up for free daily newsletters and breaki[...]"
